Include in Dashboard?,Include in Dashboard? (Initial Decision),Decision Tree Group,Data Needed,Maximal List Name,"Reservoir Label not including ""Lake/Reservoir"" (typically equivalent to Maximal List Name)","Reservoir Label including ""Lake/Reservoir"" (typically equivalent to EAR Asset Name)","Dam Label, including Dam",Preferred Label for Map and Table,Preferred Label for PopUp and Modal,In Reservoir Conditions Visualization?,EAR OBJECTID,EAR Asset Class,EAR Asset Name,Reservoir/Lake/Pool Name Simplified,EAR Asset Type,EAR Dam Facility Name,EAR Dams Asset ID,EAR Dams Simplified Dam Name,EAR Project,EAR Interior Region,EAR Managing Region,EAR Reservoir Function,EAR Total Capacity,EAR Original Completion Date,RISE Location ID,RISE Location Name,RISE Region,RISE Reservoir Name,RISE Dam Name,Has Storage in RISE?,RISE Item ID for storage,RISE Storage Start Date,RISE Storage End Date,RISE Number of Results,Start Date Before 10/1/1990?,End Date After 9/30/2020?,Has  Storage for Full Averaging Period?,Completion Year Before 1990?,Completion Year Before Start Date of Storage Data?,Notes
Include (Omit % Avg if needed),Include (Omit % Avg if needed),Group C/D,,Crane Prairie,Crane Prairie,Crane Prairie Reservoir,Crane Prairie Dam,,,TRUE,82,Reservoirs,Crane Prairie Reservoir,Crane Prairie,Reservoir,Crane Prairie Dam,125,Crane Prairie,0112-Deschutes Project,9-Columbia-Pacific Northwest,CPN,Instream Storage,"59,724","1,940",7172,Crane Prairie Reservoir and Dam (CRA),Columbia-Pacific Northwest,Crane Prairie,Crane Prairie,Y,129873,,,,,,,TRUE,TRUE,
Include (Omit % Avg if needed),Include (Omit % Avg if needed),Group C/D,,Deadwood,Deadwood,Deadwood Reservoir,Deadwood Dam,,,FALSE,90,Reservoirs,Deadwood Reservoir,Deadwood,Reservoir,Deadwood Dam,134,Deadwood,0003-Boise Project-Payette Division,9-Columbia-Pacific Northwest,CPN,Instream Storage,162000,1931,3649,Deadwood Reservoir and Dam,Columbia-Pacific Northwest,Deadwood,Deadwood,Y,130055,,,,,,,TRUE,TRUE,
Include (Omit % Avg if needed),Include (Omit % Avg if needed),Group C/D,,Emigrant,Emigrant,Emigrant Reservoir,Emigrant Dam,,,FALSE,114,Reservoirs,Emigrant Reservoir,Emigrant,Reservoir,Emigrant Dam,173,Emigrant,0415-Rogue River Basin Project-Talent Division,9-Columbia-Pacific Northwest,CPN,Instream Storage,40500,1960,7174,Emigrant Lake and Dam (EMI),Columbia-Pacific Northwest,Emigrant,Emigrant,Y,130338,,,,,,,TRUE,TRUE,
Include (Omit % Avg if needed),Include (Omit % Avg if needed),Group C/D,,Fish,Fish,Fish Lake,Fish Lake Dam,,,FALSE,118,Reservoirs,Fish Lake,Fish,Reservoir,Fish Lake Dam,182,Fish Lake,0415-Rogue River Basin Project-Talent Division,9-Columbia-Pacific Northwest,CPN,Instream Storage,"7,836","1,908",7176,Fish Lake and Fish Lake Dam (FIS),Columbia-Pacific Northwest,Fish,Fish Lake,Y,130493,,,,,,,TRUE,TRUE,
Include (Omit % Avg if needed),Include (Omit % Avg if needed),Group C/D,,Fourmile,Fourmile,Fourmile Lake,Fourmile Lake Dam,,,FALSE,130,Reservoirs,Fourmile Lake,Fourmile,Reservoir,Fourmile Lake Dam,207,Fourmile Lake,0529-Rogue River Basin Project-Medford Division,10-California-Great Basin,CPN,Instream Storage,"15,600","1,922",7177,Fourmile Lake and Fourmile Lake Dam (FOR),California-Great Basin,Fourmile,Fourmile Lake,Y,130544,,,,,,,TRUE,TRUE,
Include (Omit % Avg if needed),Include (Omit % Avg if needed),Group C/D,,Grassy,Grassy,Grassy Lake,Grassy Lake Dam,,,TRUE,149,Reservoirs,Grassy Lake,Grassy,Reservoir,Grassy Lake Dam,243,Grassy Lake,0017-Minidoka Project,7-Upper Colorado Basin,CPN,Instream Storage,"15,452","1,939",7178,Grassy Lake and Grassy Lake Dam (GRS),Upper Colorado Basin,Grassy,Grassy Lake,Y,130755,,,,,,,TRUE,TRUE,
Include (Omit % Avg if needed),Include (Omit % Avg if needed),Group C/D,,Haystack,Haystack,Haystack Reservoir,Haystack Dam,,,TRUE,162,Reservoirs,Haystack Reservoir,Haystack,Reservoir,Haystack Dam,255,Haystack,0112-Deschutes Project,9-Columbia-Pacific Northwest,CPN,Offstream Storage,"5,650","1,957",7179,Haystack Reservoir and Dam (HAY),Columbia-Pacific Northwest,Haystack,Haystack,Y,130821,,,,,,,TRUE,TRUE,
Include (Omit % Avg if needed),Include (Omit % Avg if needed),Group C/D,,Henry Hagg,Henry Hagg,Henry Hagg Lake,Scoggins Dam,,,FALSE,165,Reservoirs,Henry Hagg Lake,Henry Hagg,Reservoir,Scoggins Dam,529,Scoggins,0417-Tualatin Project,9-Columbia-Pacific Northwest,CPN,Instream Storage,"62,216","1,975",3651,Henry Hagg Lake and Scoggins Dam (SCO),Columbia-Pacific Northwest,Henry Hagg,Scoggins,Y,132997,,,,,,,TRUE,TRUE,
Include (Omit % Avg if needed),Include (Omit % Avg if needed),Group C/D,,Howard Prairie,Howard Prairie,Howard Prairie Reservoir,Howard Prairie Dam,,,FALSE,170,Reservoirs,Howard Prairie Reservoir,Howard Prairie,Reservoir,Howard Prairie Dam,273,Howard Prairie,0415-Rogue River Basin Project-Talent Division,9-Columbia-Pacific Northwest,CPN,Instream Storage,"62,100","1,958",7182,Howard Prairie Lake and Dam (HPD),Columbia-Pacific Northwest,Howard Prairie,Howard Prairie,Y,130954,,,,,,,TRUE,TRUE,
Include (Omit % Avg if needed),Include (Omit % Avg if needed),Group C/D,,Hungry Horse,Hungry Horse,Hungry Horse Reservoir,Hungry Horse Dam,,,TRUE,173,Reservoirs,Hungry Horse Reservoir,Hungry Horse,Reservoir,Hungry Horse Dam,275,Hungry Horse,0447-Hungry Horse Project,9-Columbia-Pacific Northwest,CPN,Instream Storage,"3,467,179","1,953",7181,"Hungry Horse Reservoir, Dam, and Powerplant (HGH)",Columbia-Pacific Northwest,Hungry Horse,Hungry Horse,Y,130874,,,,,,,TRUE,TRUE,
Include (Omit % Avg if needed),Include (Omit % Avg if needed),Group C/D,,Hyatt,Hyatt,Hyatt Reservoir,Hyatt Dam,,,FALSE,176,Reservoirs,Hyatt Reservoir,Hyatt,Reservoir,Hyatt Dam,280,Hyatt,0415-Rogue River Basin Project-Talent Division,9-Columbia-Pacific Northwest,CPN,Instream Storage,16200,1923,7183,Hyatt Reservoir and Dam (HYA),Columbia-Pacific Northwest,Hyatt,Hyatt,Y,131063,,,,,,,TRUE,TRUE,
Include (Omit % Avg if needed),Include (Omit % Avg if needed),Group C/D,,Island Park,Island Park,Island Park Reservoir,Island Park Dam,,,TRUE,180,Reservoirs,Island Park Reservoir,Island Park,Reservoir,Island Park Dam,288,Island Park,0017-Minidoka Project,9-Columbia-Pacific Northwest,CPN,Instream Storage,"135,585","1,938",7184,Island Park Reservoir and Dam (ISL),Columbia-Pacific Northwest,Island Park,Island Park,Y,131168,,,,,,,TRUE,TRUE,
Include (Omit % Avg if needed),Include (Omit % Avg if needed),Group C/D,,Jackson,Jackson,Jackson Lake,Jackson Lake Dam,,,TRUE,184,Reservoirs,Jackson Lake,Jackson,Reservoir,Jackson Lake Dam,293,Jackson Lake,0017-Minidoka Project,7-Upper Colorado Basin,CPN,Instream Storage,"847,000","1,911",7185,Jackson Lake and Jackson Lake Dam (JCK),Upper Colorado Basin,Jackson,Jackson Lake,Y,131199,,,,,,,TRUE,TRUE,
Include (Omit % Avg if needed),Include (Omit % Avg if needed),Group C/D,,Kachess,Kachess,Kachess Lake,Kachess Dam,,,TRUE,189,Reservoirs,Kachess Lake,Kachess,Reservoir,Kachess Dam,302,Kachess,0033-Yakima Project,9-Columbia-Pacific Northwest,CPN,Instream Storage,239000,1912,7186,Kachess Lake and Dam (KAC),Columbia-Pacific Northwest,Kachess,Kachess,Y,131227,,,,,,,TRUE,TRUE,
Include (Omit % Avg if needed),Include (Omit % Avg if needed),Group C/D,,Keechelus,Keechelus,Keechelus Lake,Keechelus Dam,,,TRUE,190,Reservoirs,Keechelus Lake,Keechelus,Reservoir,Keechelus Dam,304,Keechelus,0033-Yakima Project,9-Columbia-Pacific Northwest,CPN,Instream Storage,"158,000","1,917",7187,Keechelus Lake and Dam (KEE),Columbia-Pacific Northwest,Keechelus,Keechelus,Y,131246,,,,,,,TRUE,TRUE,
Include (Omit % Avg if needed),Include (Omit % Avg if needed),Group C/D,,Little Wood River,Little Wood River,Little Wood River Reservoir,Little Wood River Dam,,,FALSE,251,Reservoirs,Little Wood River Reservoir,Little Wood River,Reservoir,Little Wood River Dam,337,Little Wood River,0811-Little Wood River Project,9-Columbia-Pacific Northwest,CPN,Instream Storage,"30,000","1,960",7202,Little Wood River Reservoir and Dam (WOD),Columbia-Pacific Northwest,Little Wood River,Little Wood River,Y,133735,,,,,,,TRUE,TRUE,
Include (Omit % Avg if needed),Include (Omit % Avg if needed),Group C/D,,Lowell,Lowell,Lake Lowell,Deer Flat Dam,,,FALSE,219,Reservoirs,Lake Lowell,Lowell,Reservoir,Deer Flat Dam,137,Deer Flat,0004-Boise Project-Arrowrock Division,9-Columbia-Pacific Northwest,CPN,Offstream Storage,"173,043","1,911",7188,Lake Lowell and Deer Flat Dams (LOW),Columbia-Pacific Northwest,Lowell,Deer Flat,Y,131590,,,,,,,TRUE,TRUE,
Include (Omit % Avg if needed),Include (Omit % Avg if needed),Group C/D,,Mann,Mann,Mann Lake,Reservoir A Dam,,,FALSE,263,Reservoirs,Mann Lake,Mann,Reservoir,Reservoir A Dam,501,Reservoir A,0336-Lewiston Orchards Project,9-Columbia-Pacific Northwest,CPN,Offstream Storage,2440,1907,7198,Mann Lake and Reservoir A Dam (RSA),Columbia-Pacific Northwest,Mann,Reservoir A,Y,132896,,,,,,,TRUE,TRUE,
Include (Omit % Avg if needed),Include (Omit % Avg if needed),Group C/D,,Mann Creek,Mann Creek,Mann Creek Reservoir,Mann Creek Dam,,,FALSE,262,Reservoirs,Mann Creek Reservoir,Mann Creek,Reservoir,Mann Creek Dam,357,Mann Creek,0354-Mann Creek Project,9-Columbia-Pacific Northwest,CPN,Instream Storage,"12,536","1,967",3663,Mann Creek Reservoir and Dam (MAN),Columbia-Pacific Northwest,Mann Creek,Mann Creek,Y,131641,,,,,,,TRUE,TRUE,
Include (Omit % Avg if needed),Include (Omit % Avg if needed),Group C/D,,Mason,Mason,Mason Reservoir,Mason Dam,,,FALSE,267,Reservoirs,Mason Reservoir,Mason,Reservoir,Mason Dam,363,Mason,0569-Baker Project-Upper Division,9-Columbia-Pacific Northwest,CPN,Instream Storage,"95,500","1,968",7195,Phillips Lake and Mason Dam (PHL),Columbia-Pacific Northwest,Phillips,Mason,Y,132418,,,,,,,TRUE,TRUE,RISE Location is Phillips Lake and Mason Dam
Include (Omit % Avg if needed),Include (Omit % Avg if needed),Group C/D,,McKay,McKay,McKay Reservoir,McKay Dam,,,FALSE,270,Reservoirs,McKay Reservoir,McKay,Reservoir,McKay Dam,367,McKay,0030-Umatilla Project,9-Columbia-Pacific Northwest,CPN,Instream Storage,"71,534","1,927",3664,McKay Reservoir and Dam (MCK),Columbia-Pacific Northwest,McKay,McKay,Y,131673,,,,,,,TRUE,TRUE,
Include (Omit % Avg if needed),Include (Omit % Avg if needed),Group C/D,,Ochoco,Ochoco,Ochoco Reservoir,Ochoco Dam,,,TRUE,303,Reservoirs,Ochoco Reservoir,Ochoco,Reservoir,Ochoco Dam,429,Ochoco,0113-Crooked River Project,9-Columbia-Pacific Northwest,CPN,Instream Storage,"44,248","1,920",3665,Ochoco Reservoir and Dam (OCH),Columbia-Pacific Northwest,Ochoco,Ochoco,Y,132075,,,,,,,TRUE,TRUE,
Include (Omit % Avg if needed),Include (Omit % Avg if needed),Group C/D,,Owyhee,Owyhee,Lake Owyhee,Owyhee Dam,,,TRUE,227,Reservoirs,Lake Owyhee,Owyhee,Reservoir,Owyhee Dam,445,Owyhee,0048-Owyhee Project,9-Columbia-Pacific Northwest,CPN,Instream Storage,"1,120,000","1,932",7192,Lake Owyhee and Owyhee Dam (OWY),Columbia-Pacific Northwest,Owyhee,Owyhee,Y,132261,,,,,,,TRUE,TRUE,
Include (Omit % Avg if needed),Include (Omit % Avg if needed),Group C/D,,Palisades,Palisades,Palisades Reservoir,Palisades Dam,,,TRUE,317,Reservoirs,Palisades Reservoir,Palisades,Reservoir,Palisades Dam,451,Palisades,0456-Palisades Project,9-Columbia-Pacific Northwest,CPN,Instream Storage,1402000,1957,7193,"Palisades Reservoir, Dam, and Powerplant (PAL)",Columbia-Pacific Northwest,Palisades,Palisades,Y,132284,,,,,,,TRUE,TRUE,
Include (Omit % Avg if needed),Include (Omit % Avg if needed),Group C/D,,Potholes,Potholes,Potholes Reservoir,O'Sullivan Dam,,,FALSE,334,Reservoirs,Potholes Reservoir,Potholes,Reservoir,O'Sullivan Dam,444,O'Sullivan,0222-Columbia Basin Project-Gravity Division,9-Columbia-Pacific Northwest,CPN,Offstream Storage,511700,1949,7265,Potholes Reservoir and O'Sullivan Dam (POT),Columbia-Pacific Northwest,Potholes,O'Sullivan,Y,132563,,,,,,,TRUE,TRUE,
Include (Omit % Avg if needed),Include (Omit % Avg if needed),Group C/D,,Prineville,Prineville,Prineville Reservoir,Arthur R. Bowman Dam,,,TRUE,335,Reservoirs,Prineville Reservoir,Prineville,Reservoir,Arthur R. Bowman Dam,26,Arthur R. Bowman,0113-Crooked River Project,9-Columbia-Pacific Northwest,CPN,Instream Storage,150216,1961,3666,Prineville Reservoir and Arthur R. Bowman Dam (PRV),Columbia-Pacific Northwest,Prineville,Arthur R. Bowman,Y,132575,,,,,,,TRUE,TRUE,
Include (Omit % Avg if needed),Include (Omit % Avg if needed),Group C/D,,Rimrock,Rimrock,Rimrock Lake,Tieton Dam,,,TRUE,349,Reservoirs,Rimrock Lake,Rimrock,Reservoir,Tieton Dam,603,Tieton,0033-Yakima Project,9-Columbia-Pacific Northwest,CPN,Instream Storage,198000,1925,7196,Rimrock Lake and Tieton Dam (RIM),California-Great Basin,Rimrock,Tieton,Y,132729,,,,,,,TRUE,TRUE,
Include (Omit % Avg if needed),Include (Omit % Avg if needed),Group C/D,,Ririe,Ririe,Ririe Reservoir,Ririe Dam,,,TRUE,350,Reservoirs,Ririe Reservoir,Ririe,Reservoir,Ririe Dam,506,Ririe,1308-Ririe Project,9-Columbia-Pacific Northwest,CPN,Instream Storage,100500,1977,7197,Ririe Reservoir and Dam (RIR),Columbia-Pacific Northwest,Ririe,Ririe,Y,132745,,,,,,,TRUE,TRUE,
Include (Omit % Avg if needed),Include (Omit % Avg if needed),Group C/D,,Scooteney,Scooteney,Scooteney Reservoir,Scooteney Dikes,,,FALSE,370,Reservoirs,Scooteney Reservoir,Scooteney,Reservoir,Scooteney Dikes,530,Scooteney Dikes,0222-Columbia Basin Project-Gravity Division,9-Columbia-Pacific Northwest,CPN,Conveyance (used for water conveyance),15250,1952,7266,Scooteney Reservoir and Dikes (SCT),Columbia-Pacific Northwest,Scooteney,#N/A,Y,133021,,,,,,,TRUE,TRUE,
Include (Omit % Avg if needed),Include (Omit % Avg if needed),Group C/D,,Soldiers Meadow,Soldiers Meadow,Soldiers Meadow Reservoir,Soldiers Meadow Dam,,,FALSE,386,Reservoirs,Soldiers Meadow Reservoir,Soldiers Meadow,Reservoir,Soldiers Meadow Dam,556,Soldiers Meadow,0336-Lewiston Orchards Project,9-Columbia-Pacific Northwest,CPN,Instream Storage,2370,1922,7199,Soldiers Meadow Reservoir and Dam (SOL),Columbia-Pacific Northwest,Soldiers Meadow,Soldiers Meadow,Y,133227,,,,,,,TRUE,TRUE,
Include (Omit % Avg if needed),Include (Omit % Avg if needed),Group C/D,,Thief Valley,Thief Valley,Thief Valley Reservoir,Thief Valley Dam,,,FALSE,417,Reservoirs,Thief Valley Reservoir,Thief Valley,Reservoir,Thief Valley Dam,599,Thief Valley,0115-Baker Project-Lower Division,9-Columbia-Pacific Northwest,CPN,Instream Storage,13307,1932,3668,Thief Valley Reservoir and Dam (THF),Columbia-Pacific Northwest,Thief Valley,Thief Valley,Y,133472,,,,,,,TRUE,TRUE,
Include (Omit % Avg if needed),Include (Omit % Avg if needed),Group C/D,,Unity,Unity,Unity Reservoir,Unity Dam,,,FALSE,431,Reservoirs,Unity Reservoir,Unity,Reservoir,Unity Dam,615,Unity,0216-Burnt River Project,9-Columbia-Pacific Northwest,CPN,Instream Storage,25500,1938,3671,Unity Reservoir and Dam (UNY),Columbia-Pacific Northwest,Unity,Unity,Y,133626,,,,,,,TRUE,TRUE,
Include (Omit % Avg if needed),Include (Omit % Avg if needed),Group C/D,,Walcott,Walcott,Lake Walcott,Minidoka Dam,,,TRUE,236,Reservoirs,Lake Walcott,Walcott,Reservoir,Minidoka Dam,382,Minidoka,0017-Minidoka Project,9-Columbia-Pacific Northwest,CPN,Instream Storage,210200,1906,7191,"Lake Walcott, Minidoka Dam, and Minidoka Powerplant (MIN)",Columbia-Pacific Northwest,Walcott,Minidoka,Y,131804,,,,,,,TRUE,TRUE,
Include (Omit % Avg if needed),Include (Omit % Avg if needed),Group C/D,,Warm Springs,Warm Springs,Warm Springs Reservoir,Warm Springs Dam,,,FALSE,442,Reservoirs,Warm Springs Reservoir,Warm Springs,Reservoir,Warm Springs Dam,629,Warm Springs,0126-Vale Project,9-Columbia-Pacific Northwest,CPN,Instream Storage,169714,1919,3672,Warm Springs Reservoir and Dam (WAR),Columbia-Pacific Northwest,Warm Springs,Warm Springs,Y,133694,,,,,,,TRUE,TRUE,
Include (Omit % Avg if needed),Include (Omit % Avg if needed),Group C/D,,Wickiup,Wickiup,Wickiup Reservoir,Wickiup Dam,,,TRUE,473,Reservoirs,Wickiup Reservoir,Wickiup,Reservoir,Wickiup Dam,668,Wickiup,0112-Deschutes Project,9-Columbia-Pacific Northwest,CPN,Instream Storage,200000,1949,7201,Wickiup Reservoir and Dam (WIC),Columbia-Pacific Northwest,Wickiup,Wickiup,Y,133726,,,,,,,TRUE,TRUE,
Include,Include as Points Only,Group E1,Historical  and current storage data,Franklin D. Roosevelt,Franklin D. Roosevelt,Franklin D. Roosevelt Lake,Grand Coulee Dam,,,TRUE,132,Reservoirs,Franklin D. Roosevelt Lake,Franklin D. Roosevelt,Reservoir,Grand Coulee Dam,239,Grand Coulee,0222-Columbia Basin Project-Gravity Division,9-Columbia-Pacific Northwest,CPN,Instream Storage,9715346,1941,3659,Franklin D. Roosevelt Lake and Grand Coulee Dam,Columbia-Pacific Northwest,Franklin D. Roosevelt,Grand Coulee,N,#N/A,,,,,,,TRUE,TRUE,
Include,Include as Points Only,Group E1,Historical and current storage data,Upper Klamath,Upper Klamath,Upper Klamath Lake,Link River Diversion Dam,,,TRUE,433,Reservoirs,Upper Klamath Lake,Upper Klamath,Reservoir,Link River Diversion Dam,329,Link River Diversion,0012-Klamath Project,10-California-Great Basin,CGB,Instream Storage,735000,1921,--,--,--,--,--,N,#N/A,,,,,,,TRUE,TRUE,
Include,?,Group M/N,Capacity,Crescent,Crescent,--,--,,,TRUE,--,--,--,--,--,--,#N/A,#N/A,--,--,--,--,--,--,7173,Crescent Lake and Crescent Lake Dam (CRE),Columbia-Pacific Northwest,Crescent,Crescent Lake,Y,129879,,,,,,,--,--,
Include,?,Group M/N,Capacity,Lucky Peak,Lucky Peak,--,--,,,TRUE,--,--,--,--,--,--,#N/A,#N/A,--,--,--,--,--,--,7189,Lucky Peak Lake and Dam (LUC),Columbia-Pacific Northwest,Lucky Peak,Lucky Peak,Y,131596,,,,,,,--,--,
