SiteName,Lat,Lon,State,DoiRegion,Huc6,DataUnits,DataValue,DataDate,DateQueried,DataDateMax,DataDateP90,DataDateP75,DataDateP50,DataDateP25,DataDateP10,DataDateMin,DataDateAvg,DataValuePctMdn,DataValuePctAvg,StatsPeriod,MaxCapacity,PctFull,TeacupUrl,DataUrl,Comment
Banks Lake (Dry Falls Dam),47.61712097,-119.2993212,WA,Columbia-Pacific Northwest,170200,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,1275000,,,,
Potholes Reservoir (O'Sullivan Dam),46.9831158,-119.2755127,WA,Columbia-Pacific Northwest,170200,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,511700,,,,
Scooteney Reservoir (Scooteney Dikes),46.66926397,-119.0326407,WA,Columbia-Pacific Northwest,170200,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,15250,,,,
Boca Reservoir (Boca Dam),39.3901,-120.0955,CA,California-Great Basin,160501,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,41110,,,,
Cheney Reservoir (Cheney Dam),37.723,-97.802,KS,Missouri Basin,110300,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,262736,,,,
Conconully Reservoir (Conconully Dam),48.5381,-119.7523,WA,Columbia-Pacific Northwest,170200,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,13000,,,,
Gerber Reservoir (Gerber Dam),42.2012,-121.13,OR,California-Great Basin,180102,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,94300,,,,
Helena Valley Reservoir (Helena Valley Dam),46.6413,-111.8828,MT,Missouri Basin,100301,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,10451,,,,
Kortes Reservoir (Kortes Dam),42.1742,-106.8808,WY,Upper Colorado Basin,101800,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,4739,,,,
Lake Meredith (Sanford Dam),35.7142,-101.5525,TX,Arkansas-Rio Grande-Texas Gulf,110901,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,1358594,,,,
Lake Of The Arbuckles (Arbuckle Dam),34.4331,-97.0278,OK,Arkansas-Rio Grande-Texas Gulf,111303,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,108596,,,,
Prosser Creek Reservoir (Prosser Creek Dam),39.3789,-120.1386,CA,California-Great Basin,160501,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,29840,,,,
Rifle Gap Reservoir (Rifle Gap Dam),39.6279,-107.7595,CO,Upper Colorado Basin,140100,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,13602,,,,
Stampede Reservoir (Stampede Dam),39.4751,-120.1039,CA,California-Great Basin,160501,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,226500,,,,
Lake Tahoe Reservoir (Lake Tahoe Dam),39.1671,-120.144,CA,California-Great Basin,160501,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,744000,,,,
Twin Buttes Reservoir (Twin Buttes Dam),31.3656,-100.5284,TX,Arkansas-Rio Grande-Texas Gulf,120901,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,641234,,,,
Upper Klamath Lake (Link River Diversion Dam),42.2339,-121.8019,OR,California-Great Basin,180102,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,735000,,,,
Vega Reservoir (Vega Dam),39.2243,-107.8108,CO,Upper Colorado Basin,140100,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,33800,,,,
