SiteName,Lat,Lon,State,DoiRegion,Huc6,DataUnits,DataValue,DataDate,DateQueried,DataDateMax,DataDateP90,DataDateP75,DataDateP50,DataDateP25,DataDateP10,DataDateMin,DataDateAvg,DataValuePctMdn,DataValuePctAvg,StatsPeriod,MaxCapacity,PctFull,TeacupUrl,DataUrl,Comment
Trinity Lake (Trinity Dam),40.801,-122.762,CA,California-Great Basin,180102,af,2047630,02/03/2026,02/04/2026,2084120,1977342,1938647.5,1730970,1225962.5,870518.6000000001,547579,1568009,1.1829378903158345,1.3058789841129739,10/1/1990 - 9/30/2020,2447650,0.8365697710048414,,,
New Melones Lake (New Melones Dam),37.9481,-120.525,CA,California-Great Basin,180400,af,1782730,02/03/2026,02/04/2026,2225230,1976255,1945035,1534195,1038400,398593.6,268182,1396289.0666666667,1.161997008202999,1.276762844140774,10/1/1990 - 9/30/2020,2400000,0.7428041666666667,,,
Abiquiu Reservoir (Abiquiu Dam),36.2379151930001,-106.4266263279999,NM,Upper Colorado Basin,130201,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,1662770,,,,
Utah Lake,40.20998,-111.79994,UT,Upper Colorado Basin,160202,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,,,,,
Washington Lake (Washington Lake Dam),40.6765,-110.964,UT,Upper Colorado Basin,160202,af,1517,02/02/2026,02/04/2026,2267.08,1722.8000000000002,1609,1265.4,644.2,433.68,325.5,1210.3282352941176,1.198830409356725,1.2533790055978982,10/1/1990 - 9/30/2020,3055,0.49656301145662846,,,
Trial Lake (Trial Lake Dam),40.6799,-110.956839,UT,Upper Colorado Basin,160202,af,414.6,02/02/2026,02/04/2026,1315.8,1291.56,920,687,545.8,487.72,268,762.6529411764706,0.6034934497816594,0.543628664645857,10/1/1990 - 9/30/2020,1928,0.21504149377593362,,,
Lost Lake (Lost Lake Dam),40.6741,-110.9413,UT,Upper Colorado Basin,160202,af,630.68,02/02/2026,02/04/2026,1072.36,655.64,567.95,509.46,463.08,393.572,280.9,536.5645882352941,1.2379382090841282,1.175403695712089,10/1/1990 - 9/30/2020,1155,0.54604329004329,,,
Nambe Falls Reservoir (Nambe Falls Dam),35.97499,-105.91753,NM,Upper Colorado Basin,130201,af,1545.34,02/03/2026,02/04/2026,1961.4,1901,1869.9499999999998,1669,1539.4625,1076.3500000000001,573.8,1604.7846666666667,0.9259077291791491,0.962957854781763,10/1/1990 - 9/30/2020,1729,0.8937767495662232,,,
Platoro Reservoir (Platoro Dam),37.3406,-106.564,CO,Upper Colorado Basin,130100,af,23579,02/03/2026,02/04/2026,23151.6,21906.66,20039.25,18660.65,17630.475,16390.23,15563.4,19009.075,1.2635679893251306,1.2404075421870868,10/1/1990 - 9/30/2020,59571,0.39581339913716407,,,
Lake Mohave (Davis Dam),35.1979,-114.5694,AZ,Lower Colorado Basin,150301,af,1718000,02/03/2026,02/04/2026,1741990,1707061,1681197.5,1665730,1651637.5,1640630,1621000,1670237.6666666667,1.0313796353550695,1.0285961299320077,10/1/1990 - 9/30/2020,1887167,0.9103592845784183,,,
